token_symbol,binance_symbol,unlock_ts_utc,unlock_type,unlock_pct_of_supply,recipient_category,days_from_listing,source
AEVO,AEVOUSDT,2024-11-15T00:00:00Z,linear,2.1,investor+team,247,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
W,WUSDT,2024-04-03T00:00:00Z,cliff,5.42,team+investor,0,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
JTO,JTOUSDT,2024-12-07T00:00:00Z,cliff,14.7,team+investor,366,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
ONDO,ONDOUSDT,2025-01-18T00:00:00Z,cliff,19.4,team+investor,366,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
ME,MEUSDT,2025-06-10T00:00:00Z,cliff,6.5,team+investor,182,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
IO,IOUSDT,2025-06-11T00:00:00Z,cliff,12.1,investor+team,365,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
ENA,ENAUSDT,2025-04-02T00:00:00Z,cliff,8.0,investor,365,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
STRK,STRKUSDT,2025-04-15T00:00:00Z,linear,4.35,team+investor,420,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
DYM,DYMUSDT,2025-08-08T00:00:00Z,linear,5.6,investor+team,549,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
PYTH,PYTHUSDT,2025-05-20T00:00:00Z,cliff,22.4,team+investor,547,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
W,WUSDT,2025-04-03T00:00:00Z,cliff,16.7,team+investor,365,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
SEI,SEIUSDT,2025-08-15T00:00:00Z,linear,2.45,team+investor,732,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
JUP,JUPUSDT,2025-01-28T00:00:00Z,cliff,17.8,team+airdrop,363,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
ID,IDUSDT,2025-03-22T00:00:00Z,cliff,8.2,team+investor,731,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
FET,FETUSDT,2025-03-14T00:00:00Z,cliff,1.85,team+investor,2162,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
TIA,TIAUSDT,2024-10-31T00:00:00Z,cliff,20.37,team+investor,366,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
BLAST,BLASTUSDT,2025-06-26T00:00:00Z,cliff,5.42,airdrop,365,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
EIGEN,EIGENUSDT,2025-10-01T00:00:00Z,cliff,4.12,team+investor,365,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
ZRO,ZROUSDT,2025-06-20T00:00:00Z,cliff,2.34,team+investor,365,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
ZK,ZKUSDT,2025-06-17T00:00:00Z,cliff,5.65,team+investor,365,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
IO,IOUSDT,2025-12-11T00:00:00Z,linear,3.2,investor+team,548,vibe-investing/01.Trading Strategy/Token unlock 72h shock analysis (CSV 01)
